metro_area,city_name,zip_code,population,Total_QSRs,customer_satisfaction,residents_per_qsr
PA,Philadelphia,19312,11933,3,5.5,3977.6666666666665
PA,Philadelphia,19316,173,0,NA,Inf
PA,Philadelphia,19317,9904,2,0.25,4952
PA,Philadelphia,19318,NA,0,NA,Inf
PA,Philadelphia,19319,799,0,NA,Inf
PA,Philadelphia,19320,54180,5,-1.7,10836
PA,Philadelphia,19330,5426,0,NA,Inf
PA,Philadelphia,19331,NA,0,NA,Inf
PA,Philadelphia,19333,6476,3,11.5,2158.6666666666665
PA,Philadelphia,19335,48652,5,17.9,9730.4
PA,Philadelphia,19339,NA,0,NA,Inf
PA,Philadelphia,19340,NA,0,NA,Inf
PA,Philadelphia,19341,17089,21,7.428571428571429,813.7619047619048
PA,Philadelphia,19342,19151,9,16.72222222222222,2127.8888888888887
PA,Philadelphia,19343,8026,0,NA,Inf
PA,Philadelphia,19344,11932,0,NA,Inf
PA,Philadelphia,19345,719,0,NA,Inf
PA,Philadelphia,19346,NA,0,NA,Inf
PA,Philadelphia,19347,NA,0,NA,Inf
PA,Philadelphia,19348,22991,7,8,3284.4285714285716
PA,Philadelphia,19350,11757,0,NA,Inf
PA,Philadelphia,19351,NA,0,NA,Inf
PA,Philadelphia,19352,10870,0,NA,Inf
PA,Philadelphia,19353,NA,0,NA,Inf
PA,Philadelphia,19354,NA,0,NA,Inf
PA,Philadelphia,19355,25324,9,5.444444444444445,2813.777777777778
PA,Philadelphia,19357,NA,0,NA,Inf
PA,Philadelphia,19358,686,0,NA,Inf
PA,Philadelphia,19360,NA,0,NA,Inf
PA,Philadelphia,19362,5778,0,NA,Inf
PA,Philadelphia,19363,16957,0,NA,Inf
PA,Philadelphia,19365,7194,0,NA,Inf
PA,Philadelphia,19366,NA,0,NA,Inf
PA,Philadelphia,19367,15,0,NA,Inf
PA,Philadelphia,19369,NA,0,NA,Inf
PA,Philadelphia,19371,NA,0,NA,Inf
PA,Philadelphia,19372,1841,4,-1.875,460.25
PA,Philadelphia,19373,5126,0,NA,Inf
PA,Philadelphia,19374,882,0,NA,Inf
PA,Philadelphia,19375,73,0,NA,Inf
PA,Philadelphia,19376,NA,0,NA,Inf
PA,Philadelphia,19380,51146,13,11.576923076923077,3934.3076923076924
PA,Philadelphia,19381,NA,0,NA,Inf
PA,Philadelphia,19382,54293,15,22.466666666666665,3619.5333333333333
PA,Philadelphia,19383,3167,1,5.5,3167
PA,Philadelphia,19388,NA,0,NA,Inf
PA,Philadelphia,19390,14062,0,NA,Inf
PA,Philadelphia,19395,NA,0,NA,Inf
PA,Philadelphia,19397,NA,0,NA,Inf
PA,Philadelphia,19398,NA,0,NA,Inf
PA,Philadelphia,19399,NA,0,NA,Inf
PA,Philadelphia,19401,42104,18,13.63888888888889,2339.1111111111113
PA,Philadelphia,19403,46199,20,19.625,2309.95
PA,Philadelphia,19404,NA,0,NA,Inf
PA,Philadelphia,19405,5279,0,NA,Inf
PA,Philadelphia,19406,23979,23,23.108695652173914,1042.5652173913043
PA,Philadelphia,19407,NA,0,NA,Inf
PA,Philadelphia,19408,NA,0,NA,Inf
PA,Philadelphia,19409,NA,0,NA,Inf
PA,Philadelphia,19415,NA,0,NA,Inf
PA,Philadelphia,19420,NA,0,NA,Inf
PA,Philadelphia,19421,NA,0,NA,Inf
PA,Philadelphia,19422,18803,5,11.4,3760.6
PA,Philadelphia,19423,NA,0,NA,Inf
PA,Philadelphia,19424,NA,0,NA,Inf
PA,Philadelphia,19425,15152,1,3,15152
PA,Philadelphia,19426,40691,10,8.9,4069.1
PA,Philadelphia,19428,16747,14,18.107142857142858,1196.2142857142858
PA,Philadelphia,19429,NA,0,NA,Inf
PA,Philadelphia,19430,NA,0,NA,Inf
PA,Philadelphia,19432,NA,0,NA,Inf
PA,Philadelphia,19435,156,0,NA,Inf
PA,Philadelphia,19436,586,0,NA,Inf
PA,Philadelphia,19437,1030,0,NA,Inf
PA,Philadelphia,19438,24758,5,0.8,4951.6
PA,Philadelphia,19440,18935,3,3.3333333333333335,6311.666666666667
PA,Philadelphia,19441,NA,0,NA,Inf
PA,Philadelphia,19442,NA,0,NA,Inf
PA,Philadelphia,19443,NA,0,NA,Inf
PA,Philadelphia,19444,10643,1,3.5,10643
PA,Philadelphia,19446,56300,16,13.46875,3518.75
PA,Philadelphia,19450,NA,0,NA,Inf
PA,Philadelphia,19451,NA,0,NA,Inf
PA,Philadelphia,19453,1174,0,NA,Inf
PA,Philadelphia,19454,28728,16,13.875,1795.5
PA,Philadelphia,19455,NA,0,NA,Inf
PA,Philadelphia,19456,811,0,NA,Inf
PA,Philadelphia,19457,45,0,NA,Inf
PA,Philadelphia,19460,41815,14,6,2986.785714285714
PA,Philadelphia,19462,15391,7,27.428571428571427,2198.714285714286
PA,Philadelphia,19464,46903,19,3.1578947368421053,2468.5789473684213
PA,Philadelphia,19465,17429,2,9.5,8714.5
PA,Philadelphia,19468,26018,15,8.5,1734.5333333333333
PA,Philadelphia,19470,NA,0,NA,Inf
PA,Philadelphia,19472,50,0,NA,Inf
PA,Philadelphia,19473,16166,0,NA,Inf
PA,Philadelphia,19474,545,0,NA,Inf
PA,Philadelphia,19475,11355,1,-3.5,11355
PA,Philadelphia,19477,126,3,11.166666666666666,42
PA,Philadelphia,19478,NA,0,NA,Inf
PA,Philadelphia,19480,NA,0,NA,Inf
PA,Philadelphia,19481,NA,0,NA,Inf
PA,Philadelphia,19482,NA,0,NA,Inf
PA,Philadelphia,19484,NA,0,NA,Inf
PA,Philadelphia,19485,NA,0,NA,Inf
PA,Philadelphia,19486,NA,0,NA,Inf
PA,Philadelphia,19490,NA,0,NA,Inf
PA,Philadelphia,19492,364,1,-5,364
PA,Philadelphia,19493,NA,0,NA,Inf
PA,Philadelphia,19494,NA,0,NA,Inf
PA,Philadelphia,19495,NA,0,NA,Inf
PA,Philadelphia,19496,NA,0,NA,Inf
PA,Philadelphia,19520,5685,1,6.5,5685
PA,Philadelphia,19525,16225,5,4.9,3245
NV,Reno,89402,15,0,NA,Inf
NV,Reno,89405,27,0,NA,Inf
NV,Reno,89412,239,0,NA,Inf
NV,Reno,89424,289,0,NA,Inf
NV,Reno,89431,37881,27,39.833333333333336,1403
NV,Reno,89432,NA,0,NA,Inf
NV,Reno,89433,21659,4,-14.25,5414.75
NV,Reno,89434,26107,19,33.5,1374.0526315789473
NV,Reno,89435,NA,0,NA,Inf
NV,Reno,89436,40745,17,31.970588235294116,2396.764705882353
NV,Reno,89439,1465,1,0,1465
NV,Reno,89442,1051,0,NA,Inf
NV,Reno,89450,91,0,NA,Inf
NV,Reno,89451,8795,0,NA,Inf
NV,Reno,89452,NA,0,NA,Inf
NV,Reno,89501,3852,8,38.4375,481.5
NV,Reno,89502,45953,35,30.757142857142856,1312.942857142857
NV,Reno,89503,28620,27,28.055555555555557,1060
NV,Reno,89504,NA,0,NA,Inf
NV,Reno,89505,NA,0,NA,Inf
NV,Reno,89506,41279,18,9.194444444444445,2293.277777777778
NV,Reno,89507,NA,0,NA,Inf
NV,Reno,89508,12418,0,NA,Inf
NV,Reno,89509,34717,12,109.91666666666667,2893.0833333333335
NV,Reno,89510,1545,0,NA,Inf
NV,Reno,89511,25498,21,57.785714285714285,1214.1904761904761
NV,Reno,89512,25815,15,11.566666666666666,1721
NV,Reno,89513,NA,0,NA,Inf
NV,Reno,89515,NA,0,NA,Inf
NV,Reno,89519,8250,1,21,8250
NV,Reno,89520,NA,0,NA,Inf
NV,Reno,89521,29675,24,27.979166666666668,1236.4583333333333
NV,Reno,89523,35266,17,31.11764705882353,2074.470588235294
NV,Reno,89533,NA,0,NA,Inf
NV,Reno,89555,NA,0,NA,Inf
NV,Reno,89557,NA,0,NA,Inf
NV,Reno,89570,NA,0,NA,Inf
NV,Reno,89595,NA,0,NA,Inf
NV,Reno,89599,NA,0,NA,Inf
NV,Reno,89704,3822,0,NA,Inf
AZ,Tucson,85321,4776,0,NA,Inf
AZ,Tucson,85341,NA,0,NA,Inf
AZ,Tucson,85601,627,0,NA,Inf
AZ,Tucson,85614,23229,18,23.25,1290.5
AZ,Tucson,85619,189,0,NA,Inf
AZ,Tucson,85622,6330,0,NA,Inf
AZ,Tucson,85629,25500,6,-1,4250
AZ,Tucson,85633,51,0,NA,Inf
AZ,Tucson,85634,6409,0,NA,Inf
AZ,Tucson,85639,NA,0,NA,Inf
AZ,Tucson,85641,25657,5,20.8,5131.4
AZ,Tucson,85652,NA,0,NA,Inf
AZ,Tucson,85653,16405,0,NA,Inf
AZ,Tucson,85654,51,0,NA,Inf
AZ,Tucson,85658,10683,3,12,3561
AZ,Tucson,85701,5286,2,22.5,2643
AZ,Tucson,85702,NA,0,NA,Inf
AZ,Tucson,85703,NA,0,NA,Inf
AZ,Tucson,85704,31795,24,15.958333333333334,1324.7916666666667
AZ,Tucson,85705,55463,36,34.888888888888886,1540.638888888889
AZ,Tucson,85706,55691,17,9.205882352941176,3275.9411764705883
AZ,Tucson,85707,635,2,13,317.5
AZ,Tucson,85708,4187,0,NA,Inf
AZ,Tucson,85709,NA,0,NA,Inf
AZ,Tucson,85710,56168,38,39.328947368421055,1478.1052631578948
AZ,Tucson,85711,39451,30,32.55,1315.0333333333333
AZ,Tucson,85712,33239,23,27.47826086956522,1445.1739130434783
AZ,Tucson,85713,46071,24,23.3125,1919.625
AZ,Tucson,85714,14683,15,11.933333333333334,978.8666666666667
AZ,Tucson,85715,17066,18,20.77777777777778,948.1111111111111
AZ,Tucson,85716,31134,17,48,1831.4117647058824
AZ,Tucson,85717,NA,0,NA,Inf
AZ,Tucson,85718,26262,7,45.07142857142857,3751.714285714286
AZ,Tucson,85719,47503,43,25.069767441860463,1104.7209302325582
AZ,Tucson,85720,NA,0,NA,Inf
